Code,Description,Sell price exc VAT,Sell price inc VAT
DEPOCILLIN100,Depocillin (Procaine Penicillin 300mg/ml) Inj (per 100ml bottle),£16.64,£19.97
DEPOCILLIN,Depocillin (Procaine Penicillin 300mg/ml) Injectable (per ml),£0.28,£0.34
RINGWORMPCR,Dermatophyte (Ringworm) PCR (Rainbow Lab),£38.00,£45.60
DERMOVATE30,Dermovate Cream (per 30g tube),£12.24,£14.69
DES,Deslorelin 2.25mg/ml IM Injection (per ml),£49.75,£59.70
SUPRELORIN9,Deslorelin acetate (GnRH) (per 9.4mg injection),£178.01,£213.61
MEDESEDAN,Detomidine 10mg/ml Inj (per ml),£27.00,£32.40
DOMOSEDAN,Detomidine 10mg/ml Inj (per ml),£143.00,£171.60
DEXTABS,Dexamethasone Oral (per 2mg tablet),£3.40,£4.08
DEXPOWDER,Dexamethasone Powder (per box of 14 x 50mg sachets),£104.40,£125.28
DIAZEPAM,Diazepam 5mg/ml Injectable (per 2ml vial),£16.12,£19.34
THERMOMETER,Digital Fast Flexible Waterproof Thermometer,£7.49,£8.99
DIMAZON,Dimazon (50mg/ml furosemide) (per 10ml vial),£21.08,£25.30
VRAPERDISCOUNT,Discount Reproductive Visit Thornton Lodge Farm (40 miles),£32.96,£39.55
VNICHOLLSRACINGDISCOUNT,Discount Visit Adrian Nicholls Racing (45 miles),£36.00,£43.20
VASHBROOKESTUDDISCOUNT,Discount Visit Ashbrooke Stud (150 miles),£80.00,£96.00
VSCAVEDISCOUNT,Discount Visit Four Acre (51 miles),£40.80,£48.96
VBARKERDISCOUNT,Discount Visit Pasture House Farm (Paul Barker) (62 miles round trip),£40.80,£48.96
VBEDFORDDISCOUNT,Discount Visit Thorpe Hill Farm (60 miles),£48.00,£57.60
VWYTCHWOODDISCOUNT,Discount Visit Wytchwood (40 miles),£32.00,£38.40
DISCOUNTMILEAGE,Discounted Call-Out Fee (£0.80 per mile travelled) for Routine Reproductive Work (Mon-Fri),£0.80,£0.96
VKEMPDISCOUNT,Discounted Call-Out Fir Tree Farm for Routine Breeding Work (40 miles),£32.00,£38.40
VCHAPMANDISCOUNT,Discounted Call-Out Karen Chapman (Thorpe),£38.40,£46.08
DISPENSE,Dispensing Fee,£5.71,£6.85
DMSO,DMSO solution (per ml),£0.23,£0.28
DOGSEMENSTORAGE24,Dog Frozen Semen Storage (monthly fee per dog 13-24 straws),£11.67,£14.00
DOGSEMENSTORAGE36,Dog Frozen Semen Storage (monthly fee per dog 25-36 straws),£17.50,£21.00
DOGSEMENSTORAGE12,Dog Frozen Semen Storage (monthly fee per dog up to 12 straws),£5.83,£7.00
SEMENCOLLECTFREEZEBUNDLE,Dog Semen Collection & Freeze,£0.00,£0.00
DOGVACCDHPL,Dog Vaccination (All 4 Combined),£43.86,£52.63
DOGVACCKC,Dog Vaccination Kennel Cough,£27.31,£32.77
DOGVACCL4,Dog Vaccination Lepto 4,£33.56,£40.27
DOMOSEDANGEL,Domosedan Oral Sedative Gel (7.6mg/ml detomidine HCl) per 3ml tube,£52.66,£63.19
DOMPERIDONE,Domperidone 10mg (Box of 100 Tablets),£14.37,£17.24
DOPRAMV,Dopram V Injection (per ml),£1.67,£2.00
DOSINGSYRINGE,Dosing Syringe (50ml),£0.60,£0.72
SWABDG,Double Guarded Swab (per swab),£0.96,£1.15
DOXXSOL1KG,Doxx-Sol (Doxycycline Hyclate 500mg/g) Oral Powder (per 1 Kg bag),£177.25,£212.70
DOXXSOL100G,Doxx-Sol (Doxycycline Hyclate) Oral Powder (per 100g container),£47.73,£57.28
BOVADOXYPOWDER100,Doxycycline 100% Oral Powder (per 100g tub),£74.10,£88.92
BOVADOXYPOWDER50,Doxycycline 100% Oral Powder (per 50g tub),£47.85,£57.42
DOXYTUBES,Doxycycline 200mg/ml Oral Paste (per 25ml syringe),£10.44,£12.53
DOXYCAPS100,Doxycycline Oral (per 100mg capsule),£0.34,£0.41
DOXYTAB50,Doxycycline Oral (per 50mg tablet),£0.34,£0.41
MARKINGS,Draw Horse Markings and Certify Official Documentation for Passport,£67.00,£80.40
DRYSHIPPERHIREUK,Dry Shipper Hire UK (up to 1 week) - Includes Full Tank Charging with Fresh Liquid Nitrogen,£128.75,£154.50
DRYSHIPPERHIREWORLDWIDE,Dry Shipper Hire Worldwide - Includes Full Tank Charging with Fresh Liquid Nitrogen,£231.75,£278.10
EASOTIC,Easotic Ear Drops (per 10ml bottle),£19.92,£23.90
ECGREPORT,ECG Interpretation & Written Report (Rainbow Equine Hospital),£103.45,£124.14
COGGINS,EIA COGGINS AGIDT Test (APHA) (Incl postage & packaging),£25.66,£30.79
EIAELISA,EIA Serology cELISA (Rainbow Lab),£16.00,£19.20
COGGINSFASTTRACK,EIA Serology COGGINS (APHA) *FAST-TRACKED*,£96.10,£115.32
EKYFLOGYL,Ekyflogyl Topical Gel 125ml,£40.00,£48.00
EMBRYOFLUSH,Embryo Flush & Search (includes all fluids and consumables),£275.00,£330.00
EMBRYOTRANSFER,Embryo Processing & Transfer into Recipient Mare,£165.00,£198.00
EV1,Emergency Call-Out 1,£72.10,£86.52
EV2,Emergency Call-Out 2,£87.55,£105.06
EV3,Emergency Call-Out 3,£103.00,£123.60
EV4,Emergency Call-Out 4,£123.60,£148.32
ENGEMYCINPERML,Engemycin 10% (Oxytetracycline) Injectable (per ml),£2.58,£3.10
ENGEMYCINBOTTLE100,Engemycin 10% Injectable (Oxytetracycline) (per 100ml bottle),£24.93,£29.92
ENROTRON,Enrotron (Enrofloxacin 100mg/ml) Oral Solution (per 1L bottle),£172.60,£207.12
ENROX150,Enrox (Enrofloxacin) (per 150mg tablet),£3.13,£3.75
EPIDIDDOG,Epididymal Sperm Recovery from Dog Testes (Incl all extender and consumables),£145.00,£174.00
EPIDIDSTALLION,Epididymal Sperm Recovery from Stallion Testes (Incl all extender and consumables),£283.25,£339.90
EQUESTP,Equest Pramox Oral Wormer,£25.47,£30.56
EQUIBACTIN,Equibactin sachets (box of 10 sachets),£53.46,£64.15
EQUILISTEBOX,Equilis Te (per box of 10 doses) NET NET PRICE,£88.33,£106.00
TETVACBOOSTER,Equilis Te (Tetanus Vaccine),£22.70,£27.24
CONSULTHORSE,Equine Consultation,£49.50,£59.40
CONSULTPROLONGED,Equine Consultation Prolonged,£75.00,£90.00
CONSULTFOLLOWUP,Equine Follow-Up Consultation,£36.00,£43.20
FOSTERINGPERHOUR,Equine Fostering Pprocedure (per hour),£109.44,£131.33
FOSTERING,Equine Fostering Procedure (per hour),£180.00,£216.00
EHVPCR,"Equine Herpes Virus 1,4 (EHV) qPCR (Rainbow Lab)",£40.00,£48.00
BLOODEHV,"Equine Herpes Virus 1,4 (EHV) Serology (Rainbow Lab)",£37.50,£45.00
EMSPANELRAINBOW,"Equine Metabolic Syndrome (EMS) Panel - Insulin, Adiponectin, Glucose, Triglycerides (Rainbow Lab)",£53.00,£63.60
HORSEPROGESTERONE,Equine Progesterone Blood Test,£42.23,£50.68
EQUINEREMOTECONSULT,Equine Remote Consultation & Prescribing,£25.75,£30.90
EQUINEREMOTECONSULTOOH,Equine Remote Consultation & Prescribing (Out of Hours),£36.05,£43.26
MARESPECULUM,Equine Vaginal Speculum (single use),£4.08,£4.90
EHV,"Equip EHV 1,4 Vaccination",£46.68,£56.01
ROTA,Equip Rotavirus Vaccination,£69.21,£83.05
EQUIPALAZONEINJ50,Equipalazone (Phenylbutazone 200mg/ml) Injectable (per 50ml bottle),£49.75,£59.70
EQUIPALAZONEINJ,Equipalazone (Phenylbutazone 200mg/ml) Injectable (per ml),£1.42,£1.70
EQUIPALAZONESACHET,Equipalazone (Phenylbutazone) Oral (Per 1g Sachet),£1.10,£1.32
EQUIPALAZONE100,Equipalazone (Phenylbutazone/Bute) Oral (Box of 100 Sachets),£101.99,£122.39
EQUIPALAZONEPASTE,Equipalazone Bute Paste (per 36g syringe),£33.57,£40.28
EQUIPRED100,Equipred 50mg Prednisolone Tablets (per box of 100),£85.14,£102.17
EQUIPREDTABLET,Equipred 50mg Prednisolone Tablets (per tablet),£0.86,£1.03
EQUITOPMYOPLAST,Equitop Myoplast Protein Supplement (per 1.5kg tub),£78.09,£78.09
ERTUGLIFLOZINPASTE,Ertugliflozin 5mg/ml Oral Paste (per 100ml tub),£154.06,£184.87
ESOMEPRAZOLETUBE,Esomeprazole 100mg/ml Oral Paste (per 12ml tube),£24.87,£29.84
ESOMEPRAZOLECAPS,Esomeprazole 40mg Oral Capsules (per box of 28),£11.45,£13.74
PG,Estrumate (Cloprostenol) (PG) 250ug/ml (per ml),£4.62,£5.54
EXPORT,"EU Export Certification (Incl Pre-Export Documentation, Clinical Exam & Final Export Cert",£139.05,£166.86
EURICANHERPES,Eurican Herpes (CHV) Vaccine,£49.43,£59.31
EUTHANIMAL,Euthanimal (400mg/ml Pentobarbitol) Inj per ml,£0.74,£0.89
EUTHDOGCAT,Euthanise Dog/Cat,£68.75,£82.50
EUTHFARM,Euthanise Farm Animal,£42.92,£51.50
EUTHHORSE,Euthanise Horse,£87.34,£104.81
EUTHASOL,Euthasol (400mg/ml Pentobarbitol) Inj per ml,£0.74,£0.89
EVAELISA,EVA Serology ELISA (Rainbow Lab),£16.00,£19.20
EXAGUS1KG,Exagus/Pectigus Advance 1kg,£55.00,£55.00
EXAGUS3KG,Exagus/Pectigus Advance 3kg,£124.00,£124.00
EXAMCERT,Examine & Certify Horse,£62.00,£74.40
EXAMEYE,Examine Eye,£50.47,£60.56
EXAMPLACENTA,Examine Placenta and Amnion,£36.00,£43.20
EXAMMARE,Examine Post-Foaling Mare (including internal manual palpation),£65.41,£78.49
EXCISEHYMEN,Excise Hymenal Tissue Remnant,£60.26,£72.31
TOOTH,Extract Tooth (per extraction),£60.77,£72.92
WOLF,Extract Wolf Tooth (per extraction),£27.30,£32.75
6002696,EzyVet test,£1.00,£1.20
CLOSTPERF,Faecal Test for Clostridia perfringens toxin,£38.11,£45.73
WORMDISCOUNT,Faecal WEC,£10.80,£12.96
WORM,Faecal Worm Egg Count (Rainbow Lab),£13.50,£16.20
CONSULTCAT,Feline Consultation,£41.20,£49.44
FENFLOR,Fenflor 300mg/ml Injection,£54.20,£65.04
AMPUTATE,Fetotomy Wire Limb Amputation (post-mortem),£81.89,£98.26
BLOODFIBRINOGEN,Fibrinogen Blood Test (Rainbow Lab),£12.00,£14.40
FINADYNE100,Finadyne (Flunixin Meglumine 50mg/ml) Inj (per 100ml bottle),£67.73,£81.28
