Code,Description,Sell Price Exc. VAT,Sell Price Inc. VAT
CHILLEDSHIPPERPURCHASE,Chilled Shipper,36.40,43.68
CHILLEDSHIPPERHIRE,Chilled Shipper Hire (up to 7 days),10.83,13.00
CHLORAMEYE,Chloramphenicol 1% Eye Ointment,8.17,9.81
CHLORAMPASTE,Chloramphenicol 500mg/ml Oral Antibiotic Paste (per 250ml tub),160.01,192.01
HIBISCRUB5L,Chlorhexidine Gluconate 4% Scrub 5L,35.93,43.12
CHORULML,Chorulon 1500IU inj per vial,23.44,28.13
CHORULBOX,Chorulon 1500IU Injectable (per box of 5 vials),117.21,140.65
CLARITHRIFAMP,Clarithromycin-Rifampicin (750m-/500mg/10ml) Oral Antibiotic Paste (per 500ml tub),198.13,237.75
DEBRIDE,Clean & Debride Granulation Tissue (Proud Flesh),39.90,47.88
CLEANSHEATH,Clean Preputial Sheath and Penis,34.81,41.77
SUTWND2,"Clean, Debride & Suture Large Wound",119.60,143.52
SUTWND3,"Clean, Debride & Suture Multiple Wounds",135.20,162.24
SUTWND1,"Clean, Debride & Suture Wound",83.20,99.84
WOUND,"Clean, Flush & Debride Wound",69.33,83.20
CLEEN,Cleen Phosphate Enema,10.46,12.55
CLINDABACTBOX,Clindabactin 55mg (Clindamycin) (per 10x 55mg tablet),26.60,31.92
CLINDABACTTAB,Clindabactin 55mg (Clindamycin) (per tablet),2.66,3.19
CLINELL,Clinell Universal Wipes (per pack),7.22,8.66
CLINISUT,Clinisut Blue Monofilament Suture,6.25,7.50
CTS,Clitoral Swab (per pack of 10),5.10,6.12
CASTRATECLOSED,Closed Castration Under General Anaesthetic (includes sedation and anaesthetic induction),321.36,385.63
SEMENANALYSIS,"Collect & Analyse Semen (Concentration, Motility, pH, Morphology, Vitality & Report)",238.34,286.01
CHILLEDCOLLECTPROCESS,Collect & Process Semen for Chilled Distrubution (Incl extender & transport box hire),169.00,202.80
COLLECTPLASMA,Collect Blood for Plasma,22.76,27.31
EYESERUM,"Collect Blood, Centrifuge and Prepare Autologous Eye Serum with EDTA",73.91,88.69
WEATHERBYSIDONLY,Complete Markings for Weatherbys ID & Certify Official Documentation,48.10,57.72
KARYOTYPINGKENT,Copy Karyotyping (Gene Analysis) Cytoscreen Solutions,289.22,347.07
CW,Cotton Wool (per 500g roll),8.96,10.75
COURIER,Courier Fee,0.00,0.00
CPD,CPD Provision,0.00,0.00
CK,Creatine Kinase (CK) Blood Test (Rainbow Lab),12.50,15.00
CREATININE,Creatinine Test (Rainbow Lab),12.50,15.00
CREDIT,Credit,0.00,0.00
CG,Cutimed Wound Hydrogel (per box of 10x 25g tubes),93.62,112.34
CUTIMEDTUBE,Cutimed Wound Hydrogel (per tube),9.36,11.23
CYCLOSPRAYBOX,Cyclospray 211ml Canister (per box of 48),587.35,704.83
CYCLOSPRAYCAN,Cyclospray 211ml Canister (per canister),12.22,14.66
CYKLOKAPBOX,Cyklokapron Tranexamic Acid 100mg/ml (per 50ml dose/box of 10 vials),50.00,60.00
CYKLOKAPML,Cyklokapron Tranexamic Acid 100mg/ml (per ml),50.00,60.00
CYSTOSCOPY,Cystoscopic Examination (Bladder Endoscopy),166.04,199.25
INHOUSECYT,Cytology (Cell Analysis),34.81,41.77
TWCYT,Cytology (Cell Analysis) from Tracheal Wash (Rainbow Lab),32.00,38.40
TWBALCYT,Cytology (Cell Analysis) from TW/BAL (Rainbow Lab),56.00,67.20
TAPCYT,Cytology of Body Fluid Aspiration (Rainbow Lab),32.50,39.00
CYTOTECBOX,Cytotec PGE1 (Misoprostol) (per box of 60 tablets),47.78,57.34
CYTOTECTAB,Cytotec PGE1 (Misoprostol) (per tablet),0.80,0.96
DANILONBOX,Danilon Equidos Gold (per box of 60 sachets),104.29,125.14
DANILONSACH,Danilon Equidos Gold (per sachet),2.43,2.92
DANTROLENE,Dantrolene 100mg/ml Oral Paste (per 30ml syringe),57.57,69.08
DAXO15BOX,Daxocox 15mg tablets (per box of 4 tablets),24.18,29.02
DAXO30BOX,Daxocox 30mg tablets (per box of 4 tablets),24.18,29.02
DAXO45BOX,Daxocox 45mg tablets (per box of 4 tablets),24.18,29.02
DAXO70BOX,Daxocox 70mg tablets (per box of 4 tablets),32.22,38.66
DEBTRECOV,Debt Recovery Referral to DSL UK,41.60,49.92
DECTOMAXBOT,Dectomax Injectable (per 50ml bottle),102.00,122.40
DECTOMAXML,Dectomax Injectable (per ml),2.04,2.45
DEOSECT1L,Deosect Topical Parasiticide (per 1L bottle),95.60,114.72
DEOSECTML,Deosect Topical Parasiticide (per ml),0.10,0.11
DEPOMEDBOT,Depo Medrone Injectable (per 5ml bottle),173.99,208.78
DEPOMEDML,Depo Medrone Injectable (per ml),34.80,41.76
DEPOCILBOT,Depocillin (Procaine Penicillin 300mg/ml) Inj (per 100ml bottle),28.33,34.00
DEPOCILML,Depocillin (Procaine Penicillin 300mg/ml) Injectable (per ml),0.28,0.34
DEPOSIT,Deposit Taken at Time of Treatment,0.00,0.00
RINGWORMPCR,Dermatophyte (Ringworm) PCR (Rainbow Lab),40.00,48.00
DERMOVATE30,Dermovate Cream (per 30g tube),11.64,13.97
DESLOGESTML,Deslogest Deslorelin 2.25mg/ml IM Injection (per 1ml vial),50.51,60.61
DESLOGESTBOX,Deslogest Deslorelin 2.25mg/ml IM Injection (per 5 x 1ml vials),252.53,303.04
DESBOTBOVA,Deslorelin 2.25mg/ml IM Injection (per 10ml bottle),518.00,621.60
DESMLBOVA,Deslorelin 2.25mg/ml IM Injection (per ml),51.80,62.16
SUPRELORIN9,Deslorelin acetate (GnRH) (per 9.4mg injection),356.02,427.22
MEDEBOT,Detomidine 10mg/ml Inj (per 20ml bottle),540.29,648.35
DOMOBOT,Detomidine 10mg/ml Inj (per 20ml bottle),2953.20,3543.84
DEXBOX,Dexamethasone 2mg Oral (per box of 50 tablets),169.83,203.80
DEXTAB,Dexamethasone 2mg Oral (per tablet),3.40,4.08
DEXPOWDBOX,Dexamethasone Powder (per box of 14 x 50mg sachets),114.24,137.09
DEXSACH,Dexamethasone Powder 50mg (per sachet),8.16,9.79
DIAZBOX,Diazepam 5mg/ml Injectable (per box of 10 x 2ml vials),53.28,63.94
DIAZVIAL,Diazepam per 2ml vial,5.33,6.39
THERMOMETER,Digital Fast Flexible Waterproof Thermometer,7.49,8.99
DIMAZVIAL,Dimazon (50mg/ml furosemide) (per 10ml vial),21.08,25.30
DISBURSEMENT,Disbursement,0.00,0.00
VRAPERDISCOUNT,Discount Reproductive Visit Thornton Lodge Farm,33.20,39.84
VNICHOLLSRACINGDISCOUNT,Discount Visit Adrian Nicholls Racing,37.44,44.93
VASHBROOKESTUDDISCOUNT,Discount Visit Ashbrooke Stud,83.20,99.84
VSCAVEDISCOUNT,Discount Visit Four Acre,42.43,50.92
VBARKERDISCOUNT,Discount Visit Pasture House Farm (Paul Barker),42.43,50.92
VBEDFORDDISCOUNT,Discount Visit Thorpe Hill Farm,49.92,59.90
VWYTCHWOODDISCOUNT,Discount Visit Wytchwood,33.28,39.94
DISCOUNTMILEAGE,Discounted Call-Out Fee (£0.83 per mile travelled) for Routine Reproductive Work (Mon-Fri),0.83,1.00
VCHAPMANDISCOUNT,Discounted Call-Out Karen Chapman (Thorpe),39.94,47.92
DISPENSE,Dispensing Fee,5.94,7.13
DMSOBOT,DMSO solution (per 500ml bottle),527.62,633.14
DMSOML,DMSO solution (per ml),1.06,1.27
DODICILBOT,Dodicile Vit B1 & B12 injection SIC (per 100ml bottle),46.59,55.91
DODICILML,Dodicile Vit B1 & B12 injection SIC (per ml),0.47,0.56
DOGSTORAGE24,Dog Frozen Semen Storage (monthly fee per dog 13-24 straws),12.14,14.57
DOGSTORAGE36,Dog Frozen Semen Storage (monthly fee per dog 25-36 straws),18.20,21.84
DOGSTORAGE48,Dog Frozen Semen Storage (monthly fee per dog 37-48 straws),24.27,29.12
DOGSTORAGE12,Dog Frozen Semen Storage (monthly fee per dog up to 12 straws),6.07,7.28
DOGCOLLECTFRZBUNDLE,Dog Semen Collection & Freeze,0.00,0.00
DOGVACCDHPL,Dog Vaccination (All 4 Combined),43.86,52.63
KCDOSE,Dog Vaccination Kennel Cough (per dose),27.94,33.53
L4DOSE,Dog Vaccination Lepto 4 (per dose),35.60,42.73
DOMOML,Domosedan (Detomidine 10mg/ml) Injectable (per ml),147.66,177.19
DOMOGEL,Domosedan Oral Sedative Gel (7.6mg/ml detomidine HCl) per 3ml tube,52.66,63.19
DOMPERIBOX,Domperidone 10mg (Box of 100 Tablets),11.33,13.59
DOMPERITAB,Domperidone 10mg (per tablet),0.11,0.14
DOPVBOT,Dopram V Injectable (per 20ml bottle),55.32,66.38
DOPML,Dopram V Injectable (per ml),2.77,3.32
DGS,Double Guarded Swab (per swab),0.96,1.15
DOXXSOL1KG,Doxx-Sol (Doxycycline Hyclate 500mg/g) Oral Powder (per 1 Kg bag),177.25,212.70
DOXXSOL100G,Doxx-Sol (Doxycycline Hyclate) Oral Powder (per 100g container),47.73,57.28
DOXYPOWD100,Doxycycline 100% Oral Powder (per 100g tub),84.00,100.80
DOXY100BOX,Doxycycline 100mg Oral (per box of 50 capsules),33.92,40.70
